"Year","month","hires","openings","layoffs","quits","sector"
2009,"Jan",5.6,0.6,6,1.3,"Construction"
2009,"Feb",5.3,1.3,5.4,1.5,"Construction"
2009,"Mar",5.2,0.7,5.9,1.5,"Construction"
2009,"Apr",5.4,0.4,6.5,1,"Construction"
2009,"May",5.3,0.7,4.8,1.3,"Construction"
2009,"Jun",4.6,1,5.1,1.3,"Construction"
2009,"Jul",5.4,0.7,5.9,1.1,"Construction"
2009,"Aug",4.5,1,5,0.7,"Construction"
2009,"Sep",5.5,1.1,5.3,1.3,"Construction"
2009,"Oct",5.5,1,5.5,1.1,"Construction"
2009,"Nov",5.6,1.1,4.1,1.6,"Construction"
2009,"Dec",6.1,1.3,4.8,1.5,"Construction"
2010,"Jan",5.5,1,4.8,1.8,"Construction"
2010,"Feb",5.1,1.3,4.7,1.5,"Construction"
2010,"Mar",7.5,1.5,4.7,1.5,"Construction"
2010,"Apr",6.5,1.5,4.7,1.1,"Construction"
2010,"May",5.6,1.4,5,1.1,"Construction"
2010,"Jun",5.1,1.3,4.1,1.1,"Construction"
2010,"Jul",6.1,1.8,4.8,1.3,"Construction"
2010,"Aug",6.1,0.9,4.5,1.4,"Construction"
2010,"Sep",5.7,1.4,4.3,1.5,"Construction"
2010,"Oct",6.5,1.2,4.4,1.5,"Construction"
2010,"Nov",6.1,1.6,4.5,1.3,"Construction"
2010,"Dec",6.9,0.8,5.5,1.6,"Construction"
2011,"Jan",5.2,1.2,4.5,1.3,"Construction"
2011,"Feb",6.3,0.9,4.4,1.3,"Construction"
2011,"Mar",6.9,1.2,4.4,1.5,"Construction"
2011,"Apr",6.8,1.4,4.7,1.7,"Construction"
2011,"May",7.1,1.9,4.9,1.5,"Construction"
2011,"Jun",7.2,1.2,5.8,1.4,"Construction"
2011,"Jul",6.1,1.5,4.2,1.3,"Construction"
2011,"Aug",6.1,1.7,4.8,1.2,"Construction"
2011,"Sep",6.8,1.5,4.4,1.5,"Construction"
2011,"Oct",6,1.4,4,1.5,"Construction"
2011,"Nov",5.7,1.5,3.4,2.1,"Construction"
2011,"Dec",5.7,1.4,3.6,1.5,"Construction"
2012,"Jan",5.9,1.6,4.1,1.4,"Construction"
2012,"Feb",6.1,1.2,4.4,1.4,"Construction"
2012,"Mar",5.6,1.6,3.7,1.6,"Construction"
2012,"Apr",5,2,3.7,1.3,"Construction"
2012,"May",5.8,1.6,4.5,1.4,"Construction"
2012,"Jun",6.3,1.1,4.6,1.6,"Construction"
2012,"Jul",6.6,1.5,4.9,1.4,"Construction"
2012,"Aug",6,2,4.4,1.2,"Construction"
2012,"Sep",6.5,1.6,4.8,1.3,"Construction"
2012,"Oct",5.6,1.8,3.4,1.8,"Construction"
2012,"Nov",6.8,1.7,4.6,1.8,"Construction"
2012,"Dec",5.6,2.2,3.3,1.3,"Construction"
2013,"Jan",5.9,2.1,3.2,2.3,"Construction"
2013,"Feb",6.5,2.3,3.7,1.8,"Construction"
2013,"Mar",6.1,2,4.1,1.6,"Construction"
2013,"Apr",5.1,1.9,3.5,1.6,"Construction"
2013,"May",5.8,2,3.3,1.6,"Construction"
2013,"Jun",5.8,2.2,3.8,1.7,"Construction"
2013,"Jul",5.2,1.7,3.3,1.8,"Construction"
2013,"Aug",5.1,1.9,2.9,1.6,"Construction"
2013,"Sep",5.4,2.1,3,1.6,"Construction"
2013,"Oct",6.3,2.3,4.1,1.6,"Construction"
2013,"Nov",5.2,2.5,3.3,1.3,"Construction"
2013,"Dec",4.6,2,3.4,1.3,"Construction"
2014,"Jan",4.8,2.5,2.4,1.6,"Construction"
2014,"Feb",4.7,2.3,2.4,1.6,"Construction"
2014,"Mar",4.5,2,2.4,1.5,"Construction"
2014,"Apr",4.9,1.9,2.3,1.7,"Construction"
2014,"May",5.2,1.9,2.4,2,"Construction"
2014,"Jun",4.6,2.5,2.2,1.9,"Construction"
2014,"Jul",5.4,2.4,2.7,1.8,"Construction"
2014,"Aug",5.5,2,2.5,2,"Construction"
2014,"Sep",4.7,1.8,2.4,1.7,"Construction"
2014,"Oct",5.2,2.3,2.9,1.7,"Construction"
2014,"Nov",5.1,2.2,3.2,1.5,"Construction"
2014,"Dec",6.3,2.2,3.6,1.9,"Construction"
2015,"Jan",5.6,2.3,3.3,1.7,"Construction"
2015,"Feb",5.3,2.6,2.9,1.7,"Construction"
2015,"Mar",5,2.5,3.4,1.8,"Construction"
2015,"Apr",5.4,2.3,2.2,1.9,"Construction"
2015,"May",4.8,2.4,2.1,1.8,"Construction"
2015,"Jun",5.3,2.2,3.4,1.7,"Construction"
2015,"Jul",4.7,2.2,2.4,1.7,"Construction"
2015,"Aug",5,2.2,2.8,1.5,"Construction"
2015,"Sep",5.2,1.8,2.9,1.8,"Construction"
2015,"Oct",5.1,2,2.9,1.5,"Construction"
2015,"Nov",5.3,1.8,2.5,1.9,"Construction"
2015,"Dec",5.1,2.3,2.3,1.9,"Construction"
2016,"Jan",4.5,2.5,2.7,1.4,"Construction"
2016,"Feb",5.4,2.8,3.4,1.6,"Construction"
2016,"Mar",5.4,3,2.5,2.1,"Construction"
2016,"Apr",5.3,2.6,3.2,1.7,"Construction"
2016,"May",4.8,2.6,3,1.8,"Construction"
2016,"Jun",3.9,2.6,2.3,1.8,"Construction"
2016,"Jul",5.2,3,2.5,1.9,"Construction"
2016,"Aug",5,2.7,2.6,2.2,"Construction"
2016,"Sep",4.7,3.7,2.3,1.6,"Construction"
2016,"Oct",5.2,3.1,2.7,1.9,"Construction"
2016,"Nov",5.1,2.9,2,2.2,"Construction"
2016,"Dec",5.9,2.6,3.9,2,"Construction"
2017,"Jan",5.8,2.3,2.7,2.2,"Construction"
2017,"Feb",5.5,2.7,2.3,2.3,"Construction"
2017,"Mar",5.7,2.5,2.8,2.4,"Construction"
2017,"Apr",5.5,2.9,3,2.3,"Construction"
2017,"May",5.7,2.4,3,2.1,"Construction"
2017,"Jun",5.4,2.8,3.1,2,"Construction"
2017,"Jul",5.3,2.9,3.2,2.2,"Construction"
2017,"Aug",5.6,2.9,2.8,2.2,"Construction"
2017,"Sep",5.7,2.7,2.9,2.4,"Construction"
2017,"Oct",5.6,2.8,2.6,2.6,"Construction"
2017,"Nov",5.1,3.3,2.4,2,"Construction"
2017,"Dec",4.5,3.2,1.9,2.1,"Construction"
2018,"Jan",4.9,3.4,2.4,2.2,"Construction"
2018,"Feb",5.9,2.9,2.5,2.1,"Construction"
2018,"Mar",5.2,3,2.5,2.2,"Construction"
2018,"Apr",4.8,3,2.2,2.4,"Construction"
2018,"May",5.5,3.5,2.3,2.3,"Construction"
2018,"Jun",5.1,3.8,2.4,2.4,"Construction"
2018,"Jul",5.3,3.6,2.2,2.7,"Construction"
2018,"Aug",5.2,3.7,2.2,2.4,"Construction"
2018,"Sep",5.2,4.1,2.3,2.2,"Construction"
2018,"Oct",4.8,3.6,1.9,2.4,"Construction"
2018,"Nov",5.3,4.1,2.6,2.5,"Construction"
2018,"Dec",5.1,5.1,2.1,2.4,"Construction"
2019,"Jan",5.7,4,2.5,2.6,"Construction"
2019,"Feb",5,3.7,2.4,2.7,"Construction"
2019,"Mar",5.1,4.6,2.2,1.9,"Construction"
2019,"Apr",5.6,5.1,3.2,1.9,"Construction"
2019,"May",5.1,4.6,2.8,2.2,"Construction"
2019,"Jun",5.8,3.9,2.9,2.4,"Construction"
2019,"Jul",5.1,4.1,2.5,2.3,"Construction"
2019,"Aug",5.5,4.2,2.9,2.3,"Construction"
2019,"Sep",5.9,4.2,2.9,2.5,"Construction"
2019,"Oct",6.5,4.1,3.5,2.5,"Construction"
2019,"Nov",5.5,3.1,3.2,2.2,"Construction"
2019,"Dec",5.9,3.3,3.3,2.3,"Construction"
2020,"Jan",5.7,3.8,2.3,2.1,"Construction"
2020,"Feb",5,3.7,2.7,2,"Construction"
2020,"Mar",5,2.9,8.5,1.6,"Construction"
2020,"Apr",3.7,3.1,10.9,1.4,"Construction"
2020,"May",10.8,3.9,2.9,1.5,"Construction"
2020,"Jun",7.3,3.1,2.6,1.9,"Construction"
2020,"Jul",5.4,4.1,2.7,2,"Construction"
2020,"Aug",5.2,3.4,2.6,1.4,"Construction"
2020,"Sep",5.2,3,2.3,2.1,"Construction"
2020,"Oct",5.3,3.2,2.5,1.8,"Construction"
2020,"Nov",5.2,3.4,2.4,2.1,"Construction"
2020,"Dec",5.3,3.3,2.7,2.1,"Construction"
2021,"Jan",4.5,4.1,2.4,1.8,"Construction"
2021,"Feb",4.9,3.3,3.1,2.3,"Construction"
2021,"Mar",5.6,4.4,2.1,2.5,"Construction"
2021,"Apr",4.7,4.2,2.2,2.5,"Construction"
2021,"May",4.3,4,2.3,2.3,"Construction"
2021,"Jun",4.9,4.2,2.2,2.3,"Construction"
2021,"Jul",4.5,4.8,1.7,2.2,"Construction"
2021,"Aug",4.9,4.9,2,2.5,"Construction"
2021,"Sep",4.7,4.5,1.6,2.6,"Construction"
2021,"Oct",5,5.1,1.7,2.4,"Construction"
2021,"Nov",5.6,4.6,2,2.9,"Construction"
2021,"Dec",5,4.9,1.9,2.4,"Construction"
2022,"Jan",4.2,5.3,1.7,2.3,"Construction"
2022,"Feb",5.2,4.8,1.8,2.3,"Construction"
2022,"Mar",5.1,5.5,1.6,3.4,"Construction"
2022,"Apr",4.7,5.4,1.7,3,"Construction"
2022,"May",5,5.1,1.6,2.8,"Construction"
2022,"Jun",4.8,4.9,2.1,2,"Construction"
2022,"Jul",5.1,4.6,2,2.4,"Construction"
2022,"Aug",4.9,4.1,1.5,3,"Construction"
2022,"Sep",4.8,5.3,2.5,2,"Construction"
2022,"Oct",4.5,4.8,2.1,1.9,"Construction"
2022,"Nov",4.2,3.9,1.8,1.7,"Construction"
2022,"Dec",4.7,5.1,2,2,"Construction"
2023,"Jan",4.8,3.7,1.8,2.1,"Construction"
2023,"Feb",4.4,4.7,2,1.9,"Construction"
2023,"Mar",5,3.6,3.6,1.9,"Construction"
2023,"Apr",4.9,4.5,2.7,1.9,"Construction"
2023,"May",4.7,4.6,1.8,2.7,"Construction"
2023,"Jun",4.7,5,1.6,2.2,"Construction"
2023,"Jul",4.7,4.3,2.1,2.1,"Construction"
2023,"Aug",4.6,4.5,2,2.1,"Construction"
